CountryName,Year,Population
ABW,1960,
ABW,1961,
ABW,1962,
ABW,1963,
ABW,1964,
ABW,1965,
ABW,1966,
ABW,1967,
ABW,1968,
ABW,1969,
ABW,1970,
ABW,1971,
ABW,1972,
ABW,1973,
ABW,1974,
ABW,1975,
ABW,1976,
ABW,1977,
ABW,1978,
ABW,1979,
ABW,1980,
ABW,1981,
ABW,1982,
ABW,1983,
ABW,1984,
ABW,1985,
ABW,1986,6472.398709
ABW,1987,7885.158927
ABW,1988,9765.909207
ABW,1989,11392.26915
ABW,1990,12306.71768
ABW,1991,13495.7943
ABW,1992,14045.47457
ABW,1993,14938.68157
ABW,1994,16239.98785
ABW,1995,16439.35636
ABW,1996,16583.87586
ABW,1997,17927.95944
ABW,1998,19077.68743
ABW,1999,19355.33354
ABW,2000,20617.75047
ABW,2001,20670.36701
ABW,2002,20436.88713
ABW,2003,20833.97636
ABW,2004,22568.37499
ABW,2005,23300.73836
ABW,2006,24046.22638
ABW,2007,25834.11178
ABW,2008,27083.63486
ABW,2009,24631.18205
ABW,2010,23513.5277
ABW,2011,24985.01392
ABW,2012,24712.49326
ABW,2013,26441.61994
ABW,2014,26893.01151
ABW,2015,28396.90842
ABW,2016,28452.17061
ABW,2017,29350.80502
ABW,2018,30253.27936
ABW,2019,
ABW,2020,
AFE,1960,147.6122274
AFE,1961,147.014904
AFE,1962,156.1891917
AFE,1963,182.243917
AFE,1964,162.3475921
AFE,1965,180.2149078
AFE,1966,190.8454836
AFE,1967,192.3371666
AFE,1968,204.0070994
AFE,1969,227.9086151
AFE,1970,236.7934246
AFE,1971,254.0069691
AFE,1972,268.1313267
AFE,1973,339.759796
AFE,1974,410.1182398
AFE,1975,424.8031805
AFE,1976,411.5136193
AFE,1977,456.2541852
AFE,1978,496.0905908
AFE,1979,564.0029512
AFE,1980,688.5553993
AFE,1981,685.2052779
AFE,1982,641.7838696
AFE,1983,643.8037601
AFE,1984,571.4471212
AFE,1985,495.664629
AFE,1986,542.4281236
AFE,1987,643.8016203
AFE,1988,657.3472491
AFE,1989,657.1863564
AFE,1990,696.9881454
AFE,1991,704.4270885
AFE,1992,683.3361345
AFE,1993,706.4880387
AFE,1994,702.4159658
AFE,1995,771.4100971
AFE,1996,747.8415501
AFE,1997,765.9674854
AFE,1998,703.0913562
AFE,1999,675.8042634
AFE,2000,713.2459211
AFE,2001,633.608789
AFE,2002,631.8703396
AFE,2003,819.7439815
AFE,2004,993.7627111
AFE,2005,1129.80871
AFE,2006,1237.111802
AFE,2007,1382.869039
AFE,2008,1442.168158
AFE,2009,1412.111284
AFE,2010,1634.448253
AFE,2011,1770.73623
AFE,2012,1736.16656
AFE,2013,1713.899299
AFE,2014,1703.596298
AFE,2015,1549.03794
AFE,2016,1431.778723
AFE,2017,1573.063386
AFE,2018,1574.978648
AFE,2019,1530.059177
AFE,2020,1359.618224
AFG,1960,59.7732337
AFG,1961,59.86089999
AFG,1962,58.4580087
AFG,1963,78.70642878
AFG,1964,82.09530653
AFG,1965,101.1083252
AFG,1966,137.594298
AFG,1967,160.8984342
AFG,1968,129.108311
AFG,1969,129.3297604
AFG,1970,156.5187713
AFG,1971,159.567509
AFG,1972,135.317228
AFG,1973,143.1446495
AFG,1974,173.6536247
AFG,1975,186.5108383
AFG,1976,197.4455076
AFG,1977,224.2250016
AFG,1978,247.3540878
AFG,1979,275.7381154
AFG,1980,272.6555102
AFG,1981,264.1111971
AFG,1982,
AFG,1983,
AFG,1984,
AFG,1985,
AFG,1986,
AFG,1987,
AFG,1988,
AFG,1989,
AFG,1990,
AFG,1991,
AFG,1992,
AFG,1993,
AFG,1994,
AFG,1995,
AFG,1996,
AFG,1997,
AFG,1998,
AFG,1999,
AFG,2000,
AFG,2001,
AFG,2002,179.4265792
AFG,2003,190.6838143
AFG,2004,211.3820742
AFG,2005,242.0313132
AFG,2006,263.7336019
AFG,2007,359.6931579
AFG,2008,364.663542
AFG,2009,437.2687402
AFG,2010,543.3065262
AFG,2011,591.1900302
AFG,2012,638.8458516
AFG,2013,624.3154545
AFG,2014,614.2233424
AFG,2015,556.0072209
AFG,2016,512.0127781
AFG,2017,516.6798622
AFG,2018,485.6684187
AFG,2019,494.1793499
AFG,2020,516.7478708
AFW,1960,107.9322333
AFW,1961,113.0816466
AFW,1962,118.8311067
AFW,1963,123.442888
AFW,1964,131.8544019
AFW,1965,138.5263324
AFW,1966,144.3262125
AFW,1967,128.5824702
AFW,1968,129.6411062
AFW,1969,143.7156316
AFW,1970,195.4335649
AFW,1971,169.1191005
AFW,1972,200.1684071
AFW,1973,241.7114303
AFW,1974,333.1924934
AFW,1975,377.788047
AFW,1976,444.3744212
AFW,1977,454.7901664
AFW,1978,482.4774862
AFW,1979,584.3739905
AFW,1980,718.6918481
AFW,1981,1316.931704
AFW,1982,1136.462436
AFW,1983,815.9007403
AFW,1984,656.7127834
AFW,1985,651.5100941
AFW,1986,584.9072193
AFW,1987,584.1192055
AFW,1988,561.3614585
AFW,1989,510.4191055
AFW,1990,594.7260092
AFW,1991,558.4356809
AFW,1992,547.6630929
AFW,1993,445.6562062
AFW,1994,378.9404929
AFW,1995,462.8648086
AFW,1996,523.7635266
AFW,1997,515.2345812
AFW,1998,513.6425507
AFW,1999,528.5773937
AFW,2000,525.4503429
AFW,2001,539.3357244
