,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,,Coeff. of variation,Norway
1930,"81,651", 688 ,,86,,,,,,,,,,,25737,,,,,,,,,,,361,,,,,, 162 ,,,,"1,386","1,668",,,,,,,,,,,,,,,,,216586,,2.06,
1931,"113,390", 556 ,,26,2627,9182,,,,,,,,16013,23702,,,,,,,,,,,41,,,,546,, 71 ,,,,"1,047",,,,,,,,,,,,,,,,,,209310,,2.20,
1932,"88,380", 215 ,,27,1524,7110,,,,,,,,14379,13064,,,,,,,,,,,14,,,,654,, 28 ,,,,838,,,,,,,,,,,,,,,,,,163777,,2.27,
1933,"156,400", 256 ,,75,563,5650,,,,,,,,15686,20009,,,,,,,,,,,54,,,,547,, 7 ,,,,"1,482",,,,,,,,,,,,,,,,,,256610,,2.54,
1934,"121,712", 500 ,,62,466,4797,,,,,,,,13072,25214,,,,,,,,,,,105,,,,266,, 27 ,,,,"1,590",,,,,,,,,,,,,,,,,,236077,,2.37,
1935,"86,026", 465 ,,23,,,,,,,,,,,27166,,,,,,,,,,,137,,,,,, 18 ,,,,"1,636",,,,,,,,,,,,,,,,,,181327,,1.95,
1936,"95,120", 225 ,,,,,,,,,,,,,31312,,,,,,,,,,,118,,,,,, 38 ,,,,"1,848",,,,,,,,,,,,,,,,,,200102,,1.78,
1937,"94,020", 237 ,,,,,,,,,,,,,30153,,,,,,,,,,,131,,,,,, 51 ,,,,"1,112",,,,,,,,,,,,,,,,,,200302,,1.80,
1938,"93,358", 179 ,,,,,,,,,,,,7570,25917,,,,,,,,,,,151,,,,,, 57 ,,,,717,,,,,,,,,,,,,,,,,,196693,,1.88,
1939,, 161 ,,,,,,,,,,,,,24390,,,,,,,,,,,130,,,,,, 50 ,,,,,,,,,,,,,,,,,,,,,,102308,,1.96,
